Rank,Animal,Total Stats,Win Rate
1,大白鯊,32,72.19%
2,北極熊,31,70.39%
3,非洲獅,30,68.34%
4,河馬,31,68.25%
5,犀牛,31,67.41%
6,藍鯨,31,67.16%
7,鬣狗,29,66.91%
8,灰狼,29,66.22%
9,大猩猩,30,65.82%
10,花豹,29,65.09%
11,美洲野牛,29,65.01%
12,山豬,28,64.61%
13,非洲象,30,64.33%
14,狼獾,28,63.88%
15,蜜獾,28,63.85%
16,蘇門答臘虎,28,62.18%
17,灣鱷,29,62.18%
18,麝牛,27,60.06%
19,犛牛,27,59.10%
20,長頸鹿,26,57.11%
21,麋鹿,26,57.04%
22,科摩多龍,26,56.88%
23,海豚,26,56.07%
24,獵豹,25,52.50%
25,駱駝,24,50.41%
26,北極狐,24,50.36%
27,蟒蛇,24,50.10%
28,非洲野犬,23,47.69%
29,水鹿,23,47.21%
30,長臂猿,23,47.18%
31,紅袋鼠,23,47.12%
32,疣豬,23,46.62%
33,遊隼,21,40.78%
34,人,19,35.84%
35,黑斑羚,19,35.42%
36,貓頭鷹,19,35.08%
37,食蟻獸,19,34.71%
38,黃鼠狼,18,32.93%
39,豪豬,18,32.80%
40,鴨嘴獸,18,31.52%
41,穿山甲,17,30.45%
42,狐獴,17,30.15%
43,大耳狐,17,29.50%
44,丹頂鶴,17,29.04%
45,鵜鶘,17,28.67%
46,加拉巴哥象龜,16,28.34%
47,樹懶,13,18.25%
48,火雞,13,17.25%
